Video,Sigma,Method,pre_delta_psnr,post_delta_psnr,codec_gain_psnr,win_rate_psnr,pre_delta_msssim,post_delta_msssim,codec_gain_msssim,win_rate_msssim,pre_delta_psnrb,post_delta_psnrb,codec_gain_psnrb,win_rate_psnrb,pre_delta_epsnr,post_delta_epsnr,codec_gain_epsnr,win_rate_epsnr,pre_delta_ssim,post_delta_ssim,codec_gain_ssim,win_rate_ssim,pre_delta_gbim,post_delta_gbim,codec_gain_gbim,win_rate_gbim,pre_delta_mepr,post_delta_mepr,codec_gain_mepr,win_rate_mepr
mobile,5,prop,0.6883559999999989,0.023920000000000385,-0.6644359999999985,1.0,nan,nan,nan,nan,2.61478541745106,0.013319086065001073,-2.601466331386059,0.6,0.36553124624212785,-0.01725285513351338,-0.38278410137564123,0.4,0.006643999999999983,0.0012633999999999812,-0.005380600000000002,1.0,0.6254581896624032,0.1480943026611648,-0.4773638870012384,1.0,0.03507454591036341,-0.007938568028927607,-0.04301311393929101,0.0
mobile,10,nr,nan,0.0017514000000005581,nan,0.6,nan,nan,nan,nan,nan,0.005404512242577653,nan,0.6,nan,0.0071200075816150845,nan,0.8,nan,0.00020380000000002062,nan,0.2,nan,-0.010553028555209565,nan,0.2,nan,0.00019504763708770855,nan,0.6
mobile,10,hqdn3d,0.05094799999999822,-0.0035246000000000778,-0.054472599999998296,0.6,nan,nan,nan,nan,0.10577863250255604,0.00495751901085697,-0.10082111349169906,0.6,-0.007981649746909625,0.00503651023132754,0.013018159978237165,0.6,-0.0002830000000000332,-0.0006065999999999905,-0.00032359999999995723,0.0,0.3718854205118731,0.02985564672192744,-0.3420297737899457,0.8,0.01006942732742322,-0.0013139241424752202,-0.01138335146989844,0.4
mobile,10,dwt,1.4724429999999984,0.01527900000000102,-1.4571639999999975,0.6,nan,nan,nan,nan,3.3540501170774384,-0.025989461813341563,-3.3800395788907798,0.4,-0.4565718129957652,-0.18988364342523134,0.2666881695705339,0.0,0.030047000000000046,0.00011160000000001168,-0.029935400000000036,0.4,2.963153454534268,1.4544996752547619,-1.5086537792795063,1.0,0.19082719848342566,-0.08854313268334853,-0.2793703311667742,0.0
mobile,10,gaussian,-7.769210000000001,-4.4107648,3.358445200000001,0.0,nan,nan,nan,nan,-3.4750161961323514,-4.792823276213153,-1.3178070800808017,0.0,-12.14934857990037,-5.612737077103982,6.536611502796387,0.0,-0.15051000000000003,-0.14006879999999994,0.010441200000000095,0.0,18.764056781128,10.503647185797622,-8.26040959533038,1.0,-0.26575151885776455,-0.4955395084448632,-0.22978798958709867,0.0
mobile,10,prop,2.167983000000003,0.1795977999999998,-1.9883852000000033,1.0,nan,nan,nan,nan,5.496138316977429,0.10651858633176872,-5.389619730645661,1.0,1.2000480278490393,-0.010905193786990352,-1.2109532216360297,0.4,0.030367000000000033,0.0068694000000000255,-0.023497600000000007,1.0,2.980674473835812,0.449809405656789,-2.530865068179023,0.8,0.15261406059214833,-0.03263678164568262,-0.18525084223783095,0.0
mobile,15,nr,nan,0.00029640000000057397,nan,0.6,nan,nan,nan,nan,nan,0.0071915753294192085,nan,0.6,nan,0.0074453560628647605,nan,0.6,nan,-0.00017739999999999423,nan,0.6,nan,-0.006163525831406247,nan,0.2,nan,-0.0007047023925747187,nan,0.4
mobile,15,hqdn3d,0.017443000000000097,0.00030479999999997174,-0.017138200000000124,0.6,nan,nan,nan,nan,0.0334815190025779,0.0014195696853377625,-0.032061949317240136,0.6,-0.0028603165396745567,-0.0029949633793261653,-0.00013464683965160864,0.4,-0.0011259999999999604,-0.00032079999999998774,0.0008051999999999726,0.0,0.25521858255869745,0.04851604779802336,-0.20670253476067407,0.8,0.004336138957478641,-0.000394928409902251,-0.0047310673673808925,0.4
mobile,15,dwt,1.7746670000000009,0.18750680000000058,-1.5871602000000002,1.0,nan,nan,nan,nan,2.3794125756536104,0.22606228728786631,-2.1533502883657443,0.8,0.4691565501998092,-0.006009265343278258,-0.47516581554308746,0.4,0.032464999999999966,0.006384200000000018,-0.02608079999999995,0.8,3.4596696931943995,1.5485106229096062,-1.9111590702847934,1.0,0.14841061778602305,-0.06622512025090903,-0.2146357380369321,0.0
mobile,15,gaussian,-4.346219999999999,-3.802291999999999,0.5439279999999997,0.0,nan,nan,nan,nan,-0.13926889604175585,-4.104676535254855,-3.9654076392130992,0.0,-8.727979908045342,-5.033970452263342,3.694009455781999,0.0,-0.10386799999999996,-0.1282328,-0.024364800000000048,0.0,22.521041796005456,11.054818593954494,-11.466223202050962,1.0,-0.08037273288769603,-0.4769891494841187,-0.39661641659642266,0.0
mobile,15,prop,3.2444680000000012,0.36188339999999997,-2.8825846000000013,1.0,nan,nan,nan,nan,7.525258983579992,0.26112620694658945,-7.264132776633402,1.0,1.6600262027452573,-0.03585835033570781,-1.695884553080965,0.2,0.057097000000000064,0.014936400000000006,-0.04216060000000006,1.0,7.2936200127660875,1.3767965035879262,-5.916823509178162,1.0,0.27577515389209273,-0.050438628163734164,-0.3262137820558269,0.2
stefan,0,nr,nan,0.005031600000000936,nan,0.6,nan,nan,nan,nan,nan,-0.0002809155868106927,nan,0.6,nan,-0.002549449954759808,nan,0.4,nan,0.0005856000000000084,nan,0.8,nan,0.018891938126250805,nan,0.8,nan,-0.0008974706021855905,nan,0.6
stefan,0,hqdn3d,nan,-0.007134400000000341,nan,0.2,nan,nan,nan,nan,-102.04198428341485,0.0236499269497628,102.0656342103646,0.8,-99.68998322240213,0.012123639075716142,99.70210686147784,0.6,-0.005743000000000054,-0.0004883999999999889,0.005254600000000065,0.2,0.5768558074732884,0.04738912278356935,-0.529466684689719,0.8,-0.042194354476833174,-0.004762456248646995,0.037431898228186176,0.0
stefan,0,dwt,nan,-0.3003770000000003,nan,0.0,nan,nan,nan,nan,-114.13680559370769,-0.34791392830002293,113.78889166540768,0.0,-117.31192498253945,-0.4519777439007065,116.85994723863874,0.0,-0.014801999999999982,-0.004744999999999999,0.010056999999999983,0.0,0.11834170190274662,0.9583613427275971,0.8400196408248505,1.0,-0.1797268005261078,-0.08643842918081046,0.09328837134529733,0.0
